         2098685989 function calls (2070205242 primitive calls) in 8408.946 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   364046    3.334    0.000   20.835    0.000 base.py:1506(take)
   474639    2.569    0.000   20.729    0.000 ast.py:40(literal_eval)
    67454    0.785    0.000   20.672    0.000 frame.py:1953(_ixs)
    95227    0.359    0.000   20.643    0.000 generic.py:805(__invert__)
    67453    0.243    0.000   20.547    0.000 groupby.py:4067(_chop)
  4198254    2.718    0.000   20.539    0.000 common.py:59(is_sparse)
  5201204    6.006    0.000   20.529    0.000 generic.py:353(_get_axis)
  8587499    6.480    0.000   20.477    0.000 __init__.py:1279(debug)
   341890    2.389    0.000   20.038    0.000 internals.py:3536(get)
   785626    2.511    0.000   20.035    0.000 internals.py:5141(is_null)
  2112630    3.272    0.000   19.781    0.000 common.py:170(is_datetime64_any_dtype)
   277744    6.336    0.000   19.357    0.000 internals.py:3481(fast_xs)
    67455    0.230    0.000   19.201    0.000 indexing.py:1587(_get_slice_axis)
   341890    1.268    0.000   18.833    0.000 frame.py:2400(_box_col_values)
  1570753    6.055    0.000   18.592    0.000 internals.py:3257(_consolidate_check)
  2408851    3.282    0.000   18.591    0.000 common.py:106(is_string_dtype)
   464786    1.167    0.000   18.485    0.000 base.py:318(insertText)
  1992811    5.069    0.000   18.473    0.000 common.py:194(is_bool_indexer)
23668901/23668899   13.592    0.000   18.467    0.000 base.py:491(__len__)
    67454    0.569    0.000   17.912    0.000 base.py:3223(insert)
    67455    0.101    0.000   17.852    0.000 indexing.py:107(_slice)
    67456    0.557    0.000   17.751    0.000 generic.py:1483(_slice)
    47616    0.221    0.000   17.742    0.000 internals.py:4820(<listcomp>)
  1342128    2.373    0.000   17.717    0.000 common.py:264(needs_i8_conversion)
   210294    6.403    0.000   17.521    0.000 internals.py:4935(get_mgr_concatenation_plan)
    95226    0.321    0.000   17.410    0.000 frame.py:4932(f)
  5351274    6.095    0.000   17.360    0.000 common.py:93(is_timedelta64_dtype)
   427080    9.348    0.000   17.217    0.000 _html5lib.py:120(elementClass)
  2281140    9.668    0.000   17.213    0.000 base.py:1392(__contains__)
   464786    1.717    0.000   17.158    0.000 _html5lib.py:313(insertText)
    95226    1.032    0.000   17.089    0.000 nanops.py:41(_f)
  5520476    4.813    0.000   16.972    0.000 series.py:386(_values)
   170943    1.030    0.000   16.658    0.000 base.py:3213(delete)
64977465/64977399   16.603    0.000   16.607    0.000 {built-in method builtins.issubclass}
  8834802    9.048    0.000   16.581    0.000 base.py:522(values)
  9631472   10.539    0.000   16.512    0.000 __init__.py:1537(isEnabledFor)
    95226    0.642    0.000   16.255    0.000 generic.py:949(__array_wrap__)
    47614    0.160    0.000   16.239    0.000 internals.py:4686(items_overlap_with_suffix)
    47614    1.102    0.000   16.000    0.000 base.py:1905(intersection)
    67456    0.755    0.000   15.754    0.000 internals.py:3337(get_slice)
